West Germany, Live births by calendar year, age, birth cohort and birth order (Lexis triangles)
Last modified: 04/02/2019
Year   Age    Cohort           Total             B1             B2             B3             B4            B5p
2009    36      1973        11952.80        4140.35        4711.21        2107.48         635.65         358.11
2009    36      1972        10675.36        3613.57        4203.79        1923.60         585.31         349.09
2009    37      1972        10577.64        3538.43        4157.21        1922.40         595.69         363.91
2009    37      1971         9137.18        2991.43        3573.37        1667.90         550.53         353.95
2009    38      1971         8883.82        2868.57        3452.63        1651.10         552.47         359.05
2009    38      1970         7305.40        2273.24        2784.75        1454.54         482.17         310.71
2009    39      1970         6966.60        2158.76        2627.25        1392.46         476.83         311.29
2009    39      1969         5689.16        1786.78        2095.15        1091.50         425.54         290.19
2009    40      1969         5470.84        1718.22        1984.85        1048.50         419.46         299.81
2009    40      1968         4072.67        1274.50        1420.08         796.42         316.72         264.94
2009    41      1968         3737.33        1154.50        1292.92         736.58         299.28         254.06
2009    41      1967         2517.34         744.01         873.58         507.20         220.47         172.09
2009    42      1967         2211.66         649.99         756.42         442.80         200.53         161.91
2009    42      1966         1495.22         444.33         487.93         285.30         141.77         135.88
2009    43      1966         1288.78         379.67         401.07         247.70         128.23         132.12
2009    43      1965          822.82         230.73         221.27         165.43          94.32         111.07
2009    44      1965          689.18         195.27         179.73         139.57          76.68          97.93
2009    44      1964          408.31         125.10         106.17          83.06          36.86          57.12
2009    45      1964          331.69         102.90          84.83          66.94          30.14          46.88
2009    45      1963          181.92          55.64          44.66          35.88          19.35          26.39
2009    46      1963          147.08          46.36          35.34          28.12          15.65          21.61
2009    46      1962           79.11          27.80          17.69          13.55           7.49          12.58
2009    47      1962           66.89          24.20          15.31          11.45           6.51           9.42
2009    47      1961           48.26          17.98          12.52           8.64           5.22           3.89
2009    48      1961           40.74          15.02          10.48           7.36           4.78           3.11
2009    48      1960           23.08           7.90           5.47           4.46           3.29           1.97
2009    49      1960           19.92           7.10           4.53           3.54           2.71           2.03
2009    49      1959           13.62           5.52           2.59           1.60           1.45           2.46
2009    50      1959           12.38           5.48           2.41           1.40           0.55           2.54
2009    50      1958            8.85           4.31           1.85           1.01           0.00           1.67
2009    51      1958            7.88           3.93           1.68           0.89           0.00           1.38
2009    51      1957            5.49           2.85           1.23           0.62           0.00           0.78
2009    52      1957            4.70           2.49           1.09           0.53           0.00           0.59
2009    52      1956            2.82           1.53           0.71           0.33           0.00           0.26
2009    53      1956            2.33           1.27           0.61           0.27           0.00           0.18
2009    53      1955            1.32           0.73           0.37           0.15           0.00           0.07
2009    54      1955            0.95           0.52           0.27           0.11           0.00           0.05
2009    54      1954            0.48           0.26           0.14           0.06           0.00           0.02
2009    55+        .            0.18           0.10           0.05           0.02           0.00           0.01
2010    12-        .            0.12           0.12           0.00           0.00           0.00           0.00
2010    13      1997            0.55           0.55           0.00           0.00           0.00           0.00
2010    13      1996           10.20          10.20           0.00           0.00           0.00           0.00
2010    14      1996           25.13          25.13           0.00           0.00           0.00           0.00
2010    14      1995           64.98          64.98           0.00           0.00           0.00           0.00
2010    15      1995           97.02          97.02           0.00           0.00           0.00           0.00
2010    15      1994          242.43         240.31           2.12           0.00           0.00           0.00
2010    16      1994          357.57         344.69          12.88           0.00           0.00           0.00
2010    16      1993          656.06         635.19          20.45           0.42           0.00           0.00
2010    17      1993          868.94         839.81          26.55           2.58           0.00           0.00
2010    17      1992         1271.88        1191.67          76.11           3.96           0.14           0.00
2010    18      1992         1588.12        1462.33         119.89           5.04           0.86           0.00
2010    18      1991         2407.76        2145.07         247.20          13.52           1.68           0.29
2010    19      1991         2937.24        2569.93         341.80          21.48           2.32           1.71
2010    19      1990         3837.74        3257.97         518.11          53.48           7.17           1.00
2010    20      1990         4242.26        3528.03         625.89          76.52          10.83           1.00
2010    20      1989         4938.88        3864.98         928.90         123.33          19.10           2.57
2010    21      1989         5380.12        4085.02        1110.10         156.67          24.90           3.43
2010    21      1988         6365.64        4562.25        1507.60         251.79          39.92           4.08
2010    22      1988         6880.36        4799.75        1717.40         308.21          50.08           4.92
2010    22      1987         7471.35        4982.22        1995.91         408.03          76.71           8.48
2010    23      1987         7973.65        5214.78        2184.09         471.97          91.29          11.52
2010    23      1986         8971.88        5699.22        2539.78         601.42         107.42          24.04
2010    24      1986         9487.12        5939.78        2721.22         671.58         122.58          31.96
2010    24      1985        10359.89        6291.58        3028.46         812.51         183.46          43.87
2010    25      1985        11183.11        6709.42        3304.54         901.49         214.54          53.13
2010    25      1984        12250.36        7242.14        3721.68         985.09         230.49          70.96
2010    26      1984        12887.64        7540.86        3970.32        1046.91         246.51          83.04
2010    26      1983        14021.86        7977.24        4451.39        1187.08         288.52         117.63
2010    27      1983        14959.14        8404.76        4806.61        1293.92         318.48         135.37
2010    27      1982        16433.58        9018.34        5384.61        1501.79         378.51         150.32
2010    28      1982        17170.42        9317.66        5675.39        1605.21         409.49         162.68
2010    28      1981        18150.56        9644.40        6087.41        1760.82         462.31         195.62
2010    29      1981        18780.44        9865.60        6347.59        1861.18         490.69         215.38
2010    29      1980        19464.57        9978.17        6681.81        2023.31         524.32         256.96
2010    30      1980        19746.43        9983.83        6840.19        2101.69         545.68         275.04
2010    30      1979        19276.97        9462.30        6796.70        2154.85         573.57         289.54
2010    31      1979        19389.03        9329.70        6949.30        2215.15         594.43         300.46
2010    31      1978        18355.64        8397.98        6912.01        2164.61         588.66         292.39
2010    32      1978        18831.36        8413.02        7199.99        2282.39         621.34         314.61
2010    32      1977        17750.35        7570.76        6871.51        2325.71         626.04         356.33
2010    33      1977        17759.65        7393.24        6941.49        2405.29         647.96         371.67
2010    33      1976        16281.61        6454.60        6525.86        2333.75         633.80         333.60
2010    34      1976        16252.39        6294.40        6546.14        2405.25         663.20         343.40
2010    34      1975        14371.76        5318.53        5764.80        2276.97         666.61         344.84
2010    35      1975        14362.24        5201.47        5747.20        2349.03         697.39         367.16
2010    35      1974        12706.85        4424.38        5043.14        2211.00         653.68         374.65
2010    36      1974        12441.15        4247.62        4929.86        2212.00         664.32         387.35
2010    36      1973        10562.86        3466.35        4197.64        1926.62         617.19         355.05
2010    37      1973        10268.14        3326.65        4064.36        1899.38         616.81         360.95
2010    37      1972         8878.07        2841.92        3454.25        1689.21         546.27         346.42
2010    38      1972         8721.93        2764.08        3379.75        1678.79         548.73         350.58
2010    38      1971         7455.65        2303.10        2894.39        1459.48         494.50         304.18
2010    39      1971         7192.35        2206.90        2756.61        1427.52         496.50         304.82
2010    39      1970         5772.67        1751.91        2106.39        1192.93         444.47         276.97
2010    40      1970         5375.33        1642.09        1929.61        1105.07         425.53         273.03
2010    40      1969         4094.19        1299.24        1435.47         798.65         330.30         230.53
2010    41      1969         3804.81        1200.76        1321.53         741.35         309.70         231.47
2010    41      1968         2620.82         787.04         897.45         526.03         213.02         197.28
2010    42      1968         2348.18         700.96         793.55         471.97         197.98         183.72
2010    42      1967         1544.63         469.79         504.76         306.96         147.99         115.12
2010    43      1967         1321.37         394.21         426.24         262.04         132.01         106.88
2010    43      1966          822.57         223.84         257.67         162.23          87.46          91.37
2010    44      1966          702.43         191.16         217.33         136.77          73.54          83.63
2010    44      1965          460.11         135.52         139.75          84.38          43.17          57.30
2010    45      1965          379.89         109.48         114.25          72.62          35.83          47.70
2010    45      1964          210.08          52.27          62.59          48.56          21.61          25.04
2010    46      1964          170.92          43.73          49.41          38.44          17.39          21.96
2010    46      1963           99.05          29.82          24.56          18.47           8.75          17.45
2010    47      1963           78.95          25.18          20.44          12.53           7.25          13.55
2010    47      1962           38.60          13.23          13.31           3.34           4.63           4.09
2010    48      1962           32.40          11.77          10.69           2.66           3.37           3.91
2010    48      1961           23.54           9.29           4.63           1.96           1.05           6.62
2010    49      1961           21.46           8.71           4.37           2.04           0.95           5.38
2010    49      1960           15.88           6.30           4.97           2.48           1.11           1.02
2010    50      1960           15.12           5.70           5.03           2.52           0.89           0.98
2010    50      1959           12.25           3.99           3.95           1.84           0.31           2.16
2010    51      1959           11.43           3.54           3.62           1.65           0.23           2.39
2010    51      1958            7.81           2.38           2.47           1.08           0.14           1.75
2010    52      1958            6.63           2.07           2.14           0.91           0.11           1.40
2010    52      1957            3.93           1.35           1.34           0.55           0.07           0.61
2010    53      1957            3.18           1.15           1.11           0.45           0.06           0.42
2010    53      1956            1.74           0.68           0.63           0.24           0.03           0.15
2010    54      1956            1.23           0.50           0.45           0.17           0.02           0.09
2010    54      1955            0.59           0.25           0.22           0.08           0.01           0.03
2010    55+        .            0.21           0.09           0.08           0.03           0.00           0.01
2011    12-        .            0.09           0.08           0.00           0.02           0.00           0.00
2011    13      1998            0.43           0.37           0.00           0.06           0.00           0.00
2011    13      1997            8.19           7.79           0.00           0.41           0.00           0.00
2011    14      1997           22.29          21.76           0.00           0.52           0.00           0.00
2011    14      1996           73.88          73.39           0.49           0.00           0.00           0.00
2011    15      1996          113.12         110.61           2.51           0.00           0.00           0.00
2011    15      1995          230.88         227.77           3.11           0.00           0.00           0.00
2011    16      1995          315.12         311.23           3.89           0.00           0.00           0.00
2011    16      1994          578.83         563.72          14.78           0.33           0.00           0.00
2011    17      1994          759.17         732.28          26.22           0.67           0.00           0.00
2011    17      1993         1142.94        1070.60          69.60           2.75           0.00           0.00
2011    18      1993         1447.06        1332.40         109.40           5.25           0.00           0.00
2011    18      1992         2220.06        1994.54         211.52          13.33           0.53           0.14
2011    19      1992         2711.94        2397.46         288.48          21.67           3.47           0.86
2011    19      1991         3334.18        2841.15         434.85          51.78           5.47           0.93
2011    20      1991         3826.82        3192.85         552.15          74.22           6.53           1.07
2011    20      1990         4811.28        3809.23         882.58         104.80          12.16           2.52
2011    21      1990         5201.72        4010.77        1046.42         125.20          15.84           3.48
2011    21      1989         5744.69        4205.59        1308.98         194.46          29.55           6.11
2011    22      1989         6161.31        4395.41        1479.02         239.54          39.45           7.89
2011    22      1988         7083.65        4804.25        1852.22         351.04          64.88          11.27
2011    23      1988         7665.35        5087.75        2063.78         416.96          82.12          14.73
2011    23      1987         8429.37        5416.45        2345.27         516.01         118.92          32.73
2011    24      1987         9069.63        5743.55        2560.73         583.99         139.08          42.27
2011    24      1986        10233.20        6343.20        2976.34         711.47         160.06          42.13
2011    25      1986        10832.80        6640.80        3183.66         786.53         174.94          46.87
2011    25      1985        11608.08        6941.49        3442.63         941.38         209.82          72.76
2011    26      1985        12490.92        7384.51        3738.37        1041.62         238.18          88.24
2011    26      1984        13419.78        7774.86        4135.27        1111.42         291.15         107.08
2011    27      1984        14101.22        8081.14        4406.73        1176.58         316.85         119.92
2011    27      1983        15318.70        8571.86        4933.12        1320.60         345.52         147.59
2011    28      1983        16340.30        9028.14        5338.88        1435.40         372.48         165.41
2011    28      1982        17633.51        9461.00        5935.71        1630.09         414.53         192.17
2011    29      1982        18335.49        9729.00        6232.29        1728.91         439.47         205.83
2011    29      1981        18951.11        9931.98        6489.38        1832.22         476.90         220.63
2011    30      1981        19512.89       10086.02        6741.62        1940.78         509.10         235.37
2011    30      1980        19968.67        9879.31        7064.00        2175.35         580.28         269.73
2011    31      1980        20091.33        9734.69        7207.00        2263.65         602.72         283.27
2011    31      1979        18958.08        8841.51        7018.00        2237.48         577.79         283.30
2011    32      1979        18866.92        8563.49        7128.00        2290.52         590.21         294.70
2011    32      1978        17410.39        7345.07        6925.10        2246.21         588.60         305.41
2011    33      1978        17713.61        7280.93        7136.90        2345.79         623.40         326.59
2011    33      1977        16367.18        6513.66        6623.44        2267.67         632.33         330.07
2011    34      1977        16301.82        6360.34        6618.56        2322.33         655.67         344.93
2011    34      1976        14815.29        5538.70        6048.94        2246.56         636.38         344.71
2011    35      1976        14674.71        5373.30        5983.06        2299.44         656.62         362.29
2011    35      1975        12555.10        4415.77        5056.59        2107.42         616.80         358.52
2011    36      1975        12396.90        4265.23        4977.41        2143.58         636.20         374.48
2011    36      1974        10672.98        3501.81        4280.29        1948.05         593.13         349.69
2011    37      1974        10308.02        3324.19        4118.71        1910.95         599.87         354.31
2011    37      1973         8366.27        2630.13        3310.06        1561.70         543.53         320.85
2011    38      1973         8065.73        2517.87        3162.94        1525.30         538.47         321.15
2011    38      1972         6933.74        2156.10        2648.22        1373.58         467.42         288.43
2011    39      1972         6762.26        2100.90        2567.78        1339.42         461.58         292.57
2011    39      1971         5621.96        1752.79        2137.22        1069.53         392.87         269.56
2011    40      1971         5310.04        1644.21        1997.78        1013.47         385.13         269.44
2011    40      1970         4009.52        1206.23        1450.20         794.14         326.02         232.94
2011    41      1970         3609.48        1075.77        1288.80         720.86         306.98         217.06
2011    41      1969         2524.76         744.53         885.86         508.79         232.87         152.71
2011    42      1969         2293.24         671.47         797.14         462.21         216.13         146.29
2011    42      1968         1541.78         444.82         524.26         307.13         148.18         117.39
2011    43      1968         1355.22         387.18         454.74         271.87         129.82         111.61
2011    43      1967          843.78         235.83         277.35         172.47          77.18          80.95
2011    44      1967          713.22         198.17         223.65         150.53          67.82          73.05
2011    44      1966          447.72         122.56         120.55         104.04          49.76          50.82
2011    45      1966          365.28         101.44          94.45          82.96          42.24          44.18
2011    45      1965          203.44          59.79          49.39          40.61          24.52          29.13
2011    46      1965          162.56          49.21          40.61          30.39          19.48          22.87
2011    46      1964           87.02          28.07          25.85          13.72          10.01           9.37
2011    47      1964           72.98          23.93          21.15          11.28           7.99           8.63
2011    47      1963           47.16          15.28          10.29           7.42           4.36           9.80
2011    48      1963           41.84          13.72           9.71           6.58           3.64           8.20
2011    48      1962           28.54           9.28          10.33           4.32           2.04           2.57
2011    49      1962           25.46           8.72           8.67           3.68           1.96           2.43
2011    49      1961           17.91           7.06           3.15           2.16           2.03           3.51
2011    50      1961           17.09           6.94           2.85           1.84           1.97           3.49
2011    50      1960           15.10           6.57           3.37           1.31           1.48           2.38
2011    51      1960           14.30           6.37           3.44           1.16           1.31           2.01
2011    51      1959           10.01           4.64           2.69           0.78           0.81           1.09
2011    52      1959            8.62           4.06           2.43           0.67           0.65           0.81
2011    52      1958            4.79           2.32           1.45           0.38           0.31           0.33
2011    53      1958            3.81           1.86           1.18           0.31           0.23           0.22
2011    53      1957            2.04           1.01           0.66           0.18           0.11           0.09
2011    54      1957            1.42           0.70           0.47           0.12           0.07           0.05
2011    54      1956            0.67           0.34           0.23           0.06           0.03           0.02
2011    55+        .            0.24           0.12           0.08           0.02           0.01           0.01
2012    12-        .            0.10           0.10           0.00           0.00           0.00           0.00
2012    13      1999            0.47           0.47           0.00           0.00           0.00           0.00
2012    13      1998            8.69           8.69           0.00           0.00           0.00           0.00
2012    14      1998           22.75          22.75           0.00           0.00           0.00           0.00
2012    14      1997           69.10          68.95           0.14           0.00           0.00           0.00
2012    15      1997          108.90         108.05           0.86           0.00           0.00           0.00
2012    15      1996          234.14         229.91           4.07           0.17           0.00           0.00
2012    16      1996          320.86         313.09           6.93           0.83           0.00           0.00
2012    16      1995          595.18         575.92          18.80           0.46           0.00           0.00
2012    17      1995          768.82         739.08          29.20           0.54           0.00           0.00
2012    17      1994         1109.88        1033.84          71.12           4.92           0.00           0.00
2012    18      1994         1372.12        1255.16         106.88          10.08           0.00           0.00
2012    18      1993         2094.82        1866.85         212.17          15.41           0.39           0.00
2012    19      1993         2588.18        2268.15         295.83          21.59           2.61           0.00
2012    19      1992         3316.36        2789.39         467.42          54.74           4.80           0.00
2012    20      1992         3837.64        3152.61         598.58          80.26           6.20           0.00
2012    20      1991         4443.52        3451.50         864.41         113.61          13.62           0.39
2012    21      1991         4971.48        3762.50        1044.59         142.39          19.38           2.61
2012    21      1990         5821.80        4228.88        1332.61         220.83          35.37           4.11
2012    22      1990         6217.20        4419.12        1484.39         264.17          44.63           4.89
2012    22      1989         6862.41        4655.37        1786.35         349.49          60.05          11.15
2012    23      1989         7408.59        4922.63        1989.65         409.51          71.95          14.85
2012    23      1988         8529.69        5461.89        2392.12         551.35         105.51          18.82
2012    24      1988         9244.31        5835.11        2632.88         626.65         126.49          23.18
2012    24      1987        10019.94        6223.98        2900.29         689.89         162.82          42.96
2012    25      1987        10799.06        6630.02        3161.71         763.11         189.18          55.04
2012    25      1986        12222.88        7261.16        3692.35         954.13         244.89          70.35
2012    26      1986        12915.12        7579.84        3949.65        1034.87         270.11          80.65
2012    26      1985        13380.39        7743.44        4174.97        1071.86         287.60         102.52
2012    27      1985        14348.61        8220.56        4525.03        1172.14         312.40         118.48
2012    27      1984        15478.73        8629.32        4989.07        1376.09         342.85         141.39
2012    28      1984        16196.27        8921.68        5277.93        1476.91         365.15         154.61
2012    28      1983        16882.09        9097.60        5633.20        1572.21         405.87         173.21
2012    29      1983        17924.91        9565.40        6038.80        1690.79         440.13         189.79
2012    29      1982        19407.51       10200.01        6628.63        1875.38         486.58         216.91
2012    30      1982        20135.49       10432.99        6962.37        1987.62         518.42         234.09
2012    30      1981        20284.94       10074.69        7252.22        2126.79         568.08         263.17
2012    31      1981        20656.06       10052.31        7491.78        2231.21         600.92         279.83
2012    31      1980        20225.79        9471.09        7503.57        2323.48         636.01         291.63
2012    32      1980        20140.21        9191.91        7606.43        2387.52         650.99         303.37
2012    32      1979        18551.03        7932.72        7351.93        2340.28         613.41         312.69
2012    33      1979        18381.97        7639.28        7398.07        2392.72         626.59         325.31
2012    33      1978        16757.38        6619.77        6858.54        2328.90         628.49         321.69
2012    34      1978        16945.62        6539.23        6982.46        2416.10         664.51         343.31
2012    34      1977        15185.10        5621.08        6318.70        2241.01         649.55         354.76
2012    35      1977        14997.90        5445.92        6239.30        2272.99         673.45         366.24
2012    35      1976        13332.89        4689.31        5484.81        2158.60         665.34         334.83
2012    36      1976        13043.11        4481.69        5346.19        2186.40         684.66         344.17
2012    36      1975        10687.62        3457.37        4354.02        1925.85         616.75         333.64
2012    37      1975        10430.38        3299.63        4222.98        1938.15         629.25         340.36
2012    37      1974         8738.08        2672.87        3485.59        1716.56         573.78         289.27
2012    38      1974         8399.92        2542.13        3317.41        1677.44         571.22         291.73
2012    38      1973         6775.05        2023.45        2610.49        1373.07         490.44         277.60
2012    39      1973         6496.95        1947.55        2475.51        1314.93         476.56         282.40
2012    39      1972         5450.56        1680.82        2033.87        1082.26         395.81         257.80
2012    40      1972         5166.44        1595.18        1909.13        1019.74         383.19         259.20
2012    40      1971         3879.73        1181.01        1407.44         757.74         310.17         223.37
2012    41      1971         3555.27        1073.99        1275.56         693.26         294.83         217.63
2012    41      1970         2563.37         759.72         895.77         500.77         230.51         176.59
2012    42      1970         2268.63         668.28         784.23         443.23         208.49         164.41
2012    42      1969         1543.26         451.88         523.85         301.30         144.63         121.59
2012    43      1969         1362.74         398.12         457.15         265.70         128.37         113.41
2012    43      1968          841.24         245.79         275.79         163.23          78.64          77.78
2012    44      1968          726.76         211.21         232.21         139.77          69.36          74.22
2012    44      1967          446.48         126.75         132.36          82.11          45.42          59.84
2012    45      1967          378.52         107.25         108.64          69.89          39.58          53.16
2012    45      1966          243.21          68.49          65.68          47.95          27.39          33.70
2012    46      1966          196.79          59.51          53.32          36.05          21.61          26.30
2012    46      1965          101.00          38.77          27.77          13.51           9.09          11.86
2012    47      1965           86.00          34.23          24.23          10.49           7.91           9.14
2012    47      1964           61.39          23.72          18.70           6.52           7.06           5.39
2012    48      1964           53.61          21.28          17.30           5.48           5.94           3.61
2012    48      1963           34.48          15.38          12.54           3.24           2.80           0.52
2012    49      1963           27.52          11.62          10.46           2.76           2.20           0.48
2012    49      1962           11.43           3.13           4.86           1.51           1.07           0.86
2012    50      1962           10.57           2.87           4.14           1.49           0.93           1.14
2012    50      1961           12.28           4.33           3.24           1.95           0.81           1.96
2012    51      1961           12.36           4.63           2.90           2.00           0.73           2.11
2012    51      1960            9.46           3.89           1.99           1.55           0.48           1.55
2012    52      1960            8.38           3.61           1.74           1.38           0.40           1.24
2012    52      1959            4.92           2.29           1.08           0.80           0.22           0.53
2012    53      1959            4.03           1.94           0.91           0.64           0.17           0.37
2012    53      1958            2.12           1.06           0.52           0.32           0.09           0.13
2012    54      1958            1.48           0.75           0.37           0.22           0.06           0.08
2012    54      1957            0.72           0.37           0.19           0.10           0.03           0.03
2012    55+        .            0.26           0.13           0.07           0.04           0.01           0.01
2013    12-        .            0.09           0.09           0.00           0.00           0.00           0.00
2013    13      2000            0.41           0.41           0.00           0.00           0.00           0.00
2013    13      1999            7.66           7.66           0.00           0.00           0.00           0.00
2013    14      1999           20.84          20.84           0.00           0.00           0.00           0.00
2013    14      1998           72.30          71.87           0.43           0.00           0.00           0.00
2013    15      1998          115.70         113.13           2.57           0.00           0.00           0.00
2013    15      1997          238.06         230.81           7.25           0.00           0.00           0.00
2013    16      1997          331.94         321.19          10.75           0.00           0.00           0.00
2013    16      1996          567.32         542.75          24.30           0.27           0.00           0.00
2013    17      1996          714.68         678.25          34.70           1.73           0.00           0.00
2013    17      1995         1132.76        1046.76          78.31           7.54           0.15           0.00
2013    18      1995         1403.24        1279.24         111.69          11.46           0.85           0.00
2013    18      1994         2008.58        1797.25         192.33          18.12           0.88           0.00
2013    19      1994         2412.42        2127.75         259.67          23.88           1.12           0.00
2013    19      1993         3080.76        2571.99         451.80          51.41           5.31           0.25
2013    20      1993         3580.24        2905.01         590.20          73.59           9.69           1.75
2013    20      1992         4160.91        3212.24         804.83         122.02          17.81           4.02
2013    21      1992         4674.09        3525.76         962.17         157.98          23.19           4.98
2013    21      1991         5252.23        3834.74        1170.36         213.81          26.90           6.43
2013    22      1991         5854.77        4190.26        1362.64         261.19          33.10           7.57
2013    22      1990         6934.34        4698.48        1786.33         373.86          64.49          11.18
2013    23      1990         7428.66        4920.52        1983.67         430.14          80.51          13.82
2013    23      1989         8112.93        5196.68        2277.23         519.58          95.23          24.21
2013    24      1989         8766.07        5536.32        2502.77         584.42         111.77          30.79
2013    24      1988        10210.49        6309.06        2962.41         723.37         174.35          41.30
2013    25      1988        11109.51        6808.94        3244.59         804.63         201.65          49.70
2013    25      1987        12079.71        7360.85        3556.45         893.80         197.63          70.99
2013    26      1987        12909.29        7797.15        3834.55         977.20         216.37          84.01
2013    26      1986        13967.11        8169.14        4259.97        1143.04         292.36         102.60
2013    27      1986        14627.89        8435.86        4526.03        1223.96         326.64         115.40
2013    27      1985        15330.05        8601.64        4925.36        1295.20         362.71         145.15
2013    28      1985        16386.95        9087.36        5330.64        1409.80         396.29         162.85
2013    28      1984        17259.07        9390.81        5685.59        1589.18         423.90         169.60
2013    29      1984        17953.93        9687.19        5957.41        1683.82         444.10         181.40
2013    29      1983        18586.60        9920.23        6240.85        1746.83         464.02         214.66
2013    30      1983        19562.40       10303.77        6656.15        1874.17         493.98         234.34
2013    30      1982        20560.51       10367.97        7288.37        2119.10         536.50         248.58
2013    31      1982        21084.49       10411.03        7603.63        2238.90         567.50         263.42
2013    31      1981        20746.94        9833.63        7695.09        2313.39         615.04         289.79
2013    32      1981        20874.06        9644.37        7872.91        2397.61         646.96         312.21
2013    32      1980        19941.32        8662.73        7797.30        2450.17         671.50         359.62
2013    33      1980        19681.68        8312.27        7813.70        2488.83         693.50         373.38
2013    33      1979        17963.51        7195.00        7335.58        2381.82         703.68         347.43
2013    34      1979        17675.49        6918.00        7274.42        2419.18         716.32         347.57
2013    34      1978        15810.89        5970.75        6535.45        2331.23         656.35         317.10
2013    35      1978        15798.11        5830.25        6529.55        2427.77         678.65         331.90
2013    35      1977        13677.22        4774.08        5601.01        2311.67         650.44         340.02
2013    36      1977        13322.78        4546.92        5444.99        2314.33         663.56         352.98
2013    36      1976        11509.93        3794.28        4713.17        2035.40         629.93         337.16
2013    37      1976        11161.07        3612.72        4557.83        2010.60         634.07         345.84
2013    37      1975         9056.57        2820.98        3664.54        1713.88         541.70         315.48
2013    38      1975         8762.43        2701.02        3509.46        1684.12         544.30         323.52
2013    38      1974         7152.82        2187.33        2779.76        1399.34         489.80         296.60
2013    39      1974         6793.18        2075.67        2604.24        1336.66         479.20         297.40
2013    39      1973         5347.38        1646.29        1992.29        1058.19         389.44         261.19
2013    40      1973         4971.62        1526.71        1840.71         983.81         368.56         251.81
2013    40      1972         3786.61        1151.27        1403.25         744.04         288.34         199.71
2013    41      1972         3494.39        1052.73        1286.75         688.96         275.66         190.29
2013    41      1971         2559.34         747.10         922.54         516.89         224.15         148.67
2013    42      1971         2289.66         672.90         812.46         454.11         206.85         143.33
2013    42      1970         1547.52         476.94         526.91         278.70         144.23         120.74
2013    43      1970         1337.48         412.06         443.09         244.30         125.77         112.26
