East Germany, Period total fertility rates by birth order and period total fertility rates by birth order by age 40
Last modified: 04/02/2019
Year       TFR      TFR1      TFR2      TFR3      TFR4     TFR5p     TFR40   TFR40_1   TFR40_2   TFR40_3   TFR40_4  TFR40_5p
2003         .         .         .         .         .         .         .         .         .         .         .         .
2004         .         .         .         .         .         .         .         .         .         .         .         .
2005         .         .         .         .         .         .         .         .         .         .         .         .
2006         .         .         .         .         .         .         .         .         .         .         .         .
2007         .         .         .         .         .         .         .         .         .         .         .         .
2008         .         .         .         .         .         .         .         .         .         .         .         .
2009     1.430     0.733     0.490     0.140     0.042     0.025     1.401     0.727     0.481     0.133     0.038     0.022
2010     1.487     0.756     0.513     0.147     0.044     0.026     1.455     0.750     0.503     0.139     0.040     0.023
2011     1.462     0.753     0.497     0.145     0.041     0.026     1.429     0.746     0.486     0.137     0.037     0.023
2012     1.488     0.758     0.510     0.150     0.043     0.027     1.452     0.751     0.498     0.140     0.039     0.024
2013     1.494     0.757     0.513     0.152     0.045     0.026     1.455     0.748     0.500     0.143     0.041     0.023
2014     1.546     0.789     0.525     0.156     0.046     0.029     1.504     0.779     0.512     0.146     0.042     0.025
2015     1.562     0.783     0.535     0.165     0.050     0.030     1.517     0.772     0.520     0.155     0.045     0.026
2016     1.646     0.807     0.566     0.179     0.058     0.036     1.595     0.795     0.550     0.167     0.052     0.031
2017     1.616     0.773     0.564     0.185     0.058     0.036     1.563     0.761     0.547     0.173     0.052     0.031
